topic,sentiment
just,0
shopping,0
need,2
money,0
orders,1
just,0
good,2
want,0
items,0
looking looking couldn,2
like,2
time,1
page,1
great,2
need,2
account,0
update,1
easy,2
page,1
shopping,0
want,0
shop,2
update,1
just,0
service,0
order,0
items,2
update,1
card,0
page,1
service,0
good,2
like,0
prime,0
use,1
possible 2023,1
phone,0
don,0
items,0
like,1
account,0
want,0
need,2
prime,1
app thank,2
use,0
use,0
like,2
use,2
items,1
great,1
app,2
prices,2
good,2
don,0
order,1
shop,2
don,1
order,0
app,2
don,0
really,2
items,2
buy,1
really,2
delivery,2
update,0
like,1
app,2
prime,1
really,1
amazon,0
service,0
days,0
app,2
time,0
customer,0
refund thank,2
money need,2
want,1
account,0
great,2
great,2
item,0
delivery,1
use,1
like,0
phone,1
ve,0
search,1
time,0
need,1
keeps,0
order,0
want,1
shopping,0
love amazon,2
amazon,0
just,0
customer,0
good,1
keeps,0
shopping amazon,2
customer,0
prime,0
looking prompt,2
things,1
want,0
update,1
lately rubbish,0
shopping,0
delivery,2
amazon,0
customer,2
service,2
update,0
prime,1
update,0
orders,0
shopping,0
delivery,2
prime,1
just,2
shop,2
items,2
don,2
use,1
orders,0
want,0
really,2
search,0
want,0
phone,2
like,2
app,1
love amazon,2
products,1
customer,0
need,2
just,1
shopping,1
want,2
page,0
easy,2
easy use just,2
things,2
just,2
best shopping experience,2
prime,1
shopping,2
just,0
time,1
need,2
items,1
order,0
make,1
shop,2
buy,2
account,0
app,1
love amazon,2
good,1
account,0
deals things,2
prime,1
customer,0
service,0
stuck scrolling,2
really,2
items,0
use,0
search,1
prime,2
items,0
need,1
fix,1
buy,1
time,0
guarantee iteams experience,2
page,0
great,2
app,1
update,0
love amazon,2
just,2
account,1
easy,2
make,1
service,0
update,1
card,0
easy looking,2
easy,2
like,2
page,0
shopping amazon,2
great,1
things,2
fix,1
shop,2
poor quality long,0
just,0
account,0
fixing search,2
amazon,0
like,0
update,1
really,2
really,2
shopping amazon,2
really,1
