level_0,index,Time_submitted,content,Rating,Total_thumbsup,Reply,sentiment,lengthContent,Language,reviewId,topics
1216,1344,2022-07-06 16:50:19,It's a super cool app you will get all songs you want Tho it has add but still working amazingly well when you have low range,5,0,,2,125,en,1206,"['app', 'spotify', 'music', 'songs', 'love', 'like', 'good', 'listen', 'just', 'song', 'best', 'great', 'premium', 'really', 'use', 'play', 'listening', 'ads', 'playlist', 'want', 'don', 'music app', 'love app', 'time', 'love spotify']"
45980,48292,2022-03-03 18:18:42,Somehow always knows what I want to hear! Love it!,5,0,,2,50,en,45732,"['music', 'app', 'love', 'spotify', 'great', 'song', 'songs', 'good', 'like', 'premium', 'listen', 'playlist', 'ads', 'play', 'just', 'best', 'playlists', 'really', 'better', 'use', 'want', 'quality', 'music app', 'don', 'amazing']"
14806,16118,2022-06-01 03:00:01,Awsome selection of talk and music..more podcasts than i ever thought,4,0,,2,69,en,14690,"['awsome', 'time waiting spotify', 'time waiting', 'thought awsome music', 'thought awsome', 'talk music podcasts', 'spotify good experience', 'selection talk music', 'selection talk', 'rogan podcasts music', 'rogan podcasts', 'podcasts thought awsome', 'podcasts thought', 'waiting spotify', 'podcasts fast', 'music podcasts thought', 'music podcasts fast', 'joe rogan podcasts', 'waiting spotify good', 'experience joe rogan', 'podcasts fast time', 'awsome selection talk', 'fast time', 'fast time waiting', 'awsome selection']"
3776,4163,2022-06-30 12:10:29,"I love this premium feature but in our country it takes lot of taxes from tele communication service, so Spotify should use nagad payment method",5,0,,2,144,en,3752,"['music', 'app', 'love', 'spotify', 'great', 'song', 'songs', 'good', 'like', 'premium', 'listen', 'playlist', 'ads', 'play', 'just', 'best', 'playlists', 'really', 'better', 'use', 'want', 'quality', 'music app', 'don', 'amazing']"
10371,11401,2022-06-14 02:50:45,Best music streaming! satisfied with my browses in metal music. Make the other albums available please for the premium users. And please add the Hifi CD-quality already please,5,0,,2,175,en,10292,"['music', 'app', 'love', 'spotify', 'great', 'song', 'songs', 'good', 'like', 'premium', 'listen', 'playlist', 'ads', 'play', 'just', 'best', 'playlists', 'really', 'better', 'use', 'want', 'quality', 'music app', 'don', 'amazing']"
14777,16088,2022-06-01 05:00:52,It's amazing...just don't have the premium yet...but it's still fine,5,0,,2,68,en,14661,"['app', 'spotify', 'music', 'songs', 'love', 'like', 'good', 'listen', 'just', 'song', 'best', 'great', 'premium', 'really', 'use', 'play', 'listening', 'ads', 'playlist', 'want', 'don', 'music app', 'love app', 'time', 'love spotify']"
11154,12240,2022-06-12 02:10:43,Sometimes I have to re-download it every couple of months Other than that works fine,4,0,,2,84,en,11066,"['app', 'spotify', 'music', 'songs', 'love', 'like', 'good', 'listen', 'just', 'song', 'best', 'great', 'premium', 'really', 'use', 'play', 'listening', 'ads', 'playlist', 'want', 'don', 'music app', 'love app', 'time', 'love spotify']"
10797,11850,2022-06-13 00:35:43,"Easy and fun, large amount of content, go Spotify!",5,0,,2,50,en,10712,"['music', 'app', 'love', 'spotify', 'great', 'song', 'songs', 'good', 'like', 'premium', 'listen', 'playlist', 'ads', 'play', 'just', 'best', 'playlists', 'really', 'better', 'use', 'want', 'quality', 'music app', 'don', 'amazing']"
41253,43560,2022-03-20 15:44:40,Spotify is good for listening and it is also calming.,5,0,,2,53,en,41015,"['app', 'spotify', 'music', 'songs', 'love', 'like', 'good', 'listen', 'just', 'song', 'best', 'great', 'premium', 'really', 'use', 'play', 'listening', 'ads', 'playlist', 'want', 'don', 'music app', 'love app', 'time', 'love spotify']"
24773,26730,2022-05-01 23:02:12,"Fantastic choice of music, wide range.",5,0,,2,38,en,24603,"['range', 'range music', 'wide eclectic', 'surprisingly diverse range', 'music considerable range', 'wide eclectic selection', 'selection music considerable', 'surprisingly diverse', 'range surprisingly', 'range surprisingly diverse', 'range music available', 'offers wide eclectic', 'offers wide', 'music wide range', 'music considerable', 'music available offers', 'fantastic choice music', 'wide range surprisingly', 'considerable range', 'available offers', 'available offers wide', 'choice music wide', 'considerable', 'considerable range music', 'diverse range']"
