level_0,index,Time_submitted,content,score,Total_thumbsup,Reply,sentiment,lengthContent,Language,scoreSA,reviewId,topics
30989,31215,2022-04-17 22:10:35,Very good app I've been able to listen to music I haven't heard of in over 49 years and for free hell yes,5,1,,2,105,en,4,3761,"['app', 'music', 'spotify', 'love', 'songs', 'great', 'best', 'good', 'listen', 'like', 'use', 'song', 'premium', 'just', 'music app', 'easy', 'really', 'ads', 'listening', 'play', 'want', 'best music', 'playlist', 'amazing', 'free']"
21919,22078,2022-05-09 20:31:13,Unlimited music for a great price. What else do you need?,5,0,,2,57,en,4,10125,"['app', 'music', 'spotify', 'love', 'songs', 'great', 'best', 'good', 'listen', 'like', 'use', 'song', 'premium', 'just', 'music app', 'easy', 'really', 'ads', 'listening', 'play', 'want', 'best music', 'playlist', 'amazing', 'free']"
13757,13873,2022-06-04 01:37:47,Just a wonderful app to use! Every band with all of their music at your fingertips! No complaints!,5,0,,2,98,en,4,12112,"['app', 'music', 'spotify', 'love', 'songs', 'great', 'best', 'good', 'listen', 'like', 'use', 'song', 'premium', 'just', 'music app', 'easy', 'really', 'ads', 'listening', 'play', 'want', 'best music', 'playlist', 'amazing', 'free']"
45920,46174,2022-03-02 19:05:16,I've enjoyed the snippet of each song I needed. So thus far I've enjoyed the app.,5,0,,2,81,en,4,10149,"['app', 'music', 'spotify', 'love', 'songs', 'great', 'best', 'good', 'listen', 'like', 'use', 'song', 'premium', 'just', 'music app', 'easy', 'really', 'ads', 'listening', 'play', 'want', 'best music', 'playlist', 'amazing', 'free']"
26038,26228,2022-04-27 18:02:12,I enjoy having my Spotify very convenient.,5,0,,2,42,en,4,29079,"['app', 'music', 'spotify', 'love', 'songs', 'great', 'best', 'good', 'listen', 'like', 'use', 'song', 'premium', 'just', 'music app', 'easy', 'really', 'ads', 'listening', 'play', 'want', 'best music', 'playlist', 'amazing', 'free']"
29135,29354,2022-04-20 23:57:19,love spotify and the recommended playlist!,5,0,,2,42,en,4,27428,"['app', 'music', 'spotify', 'love', 'songs', 'great', 'best', 'good', 'listen', 'like', 'use', 'song', 'premium', 'just', 'music app', 'easy', 'really', 'ads', 'listening', 'play', 'want', 'best music', 'playlist', 'amazing', 'free']"
3772,3796,2022-06-30 10:51:11,Why did my filters in Liked Songs disappeared after I reinstalled the app?,5,0,,2,74,en,4,27014,"['music', 'app', 'spotify', 'love', 'great', 'songs', 'good', 'best', 'like', 'listen', 'use', 'song', 'just', 'premium', 'really', 'easy', 'listening', 'music app', 'ads', 'want', 'playlist', 'play', 'don', 've', 'amazing']"
9959,10042,2022-06-14 21:12:04,I love the app the way you can connect it to any device is nice,5,0,,2,63,en,4,12462,"['music', 'app', 'spotify', 'love', 'great', 'songs', 'good', 'best', 'like', 'listen', 'use', 'song', 'just', 'premium', 'really', 'easy', 'listening', 'music app', 'ads', 'want', 'playlist', 'play', 'don', 've', 'amazing']"
47478,47733,2022-02-24 02:39:35,"This is the best music app! Even if you don't have premium, you get an amazing experience",5,7,,2,89,en,4,110,"['app', 'music', 'spotify', 'love', 'songs', 'great', 'best', 'good', 'listen', 'like', 'use', 'song', 'premium', 'just', 'music app', 'easy', 'really', 'ads', 'listening', 'play', 'want', 'best music', 'playlist', 'amazing', 'free']"
53171,53437,2022-02-02 23:39:48,"why is a song that usually has lyrics, suddenly there are no lyrics?",5,0,,2,68,en,4,9281,"['music', 'app', 'spotify', 'love', 'great', 'songs', 'good', 'best', 'like', 'listen', 'use', 'song', 'just', 'premium', 'really', 'easy', 'listening', 'music app', 'ads', 'want', 'playlist', 'play', 'don', 've', 'amazing']"
29858,30080,2022-04-20 01:20:28,Its very nice and I've been using this in the past few months and its rlly nice the problem is i can't put a song right directly to my playlist,5,0,,2,143,en,4,4420,"['music', 'app', 'spotify', 'love', 'great', 'songs', 'good', 'best', 'like', 'listen', 'use', 'song', 'just', 'premium', 'really', 'easy', 'listening', 'music app', 'ads', 'want', 'playlist', 'play', 'don', 've', 'amazing']"
15665,15794,2022-05-29 10:07:18,Nice app. There a alot songs even ganna(app) dosent have that many.,5,0,,2,67,en,4,14890,"['music', 'app', 'spotify', 'love', 'great', 'songs', 'good', 'best', 'like', 'listen', 'use', 'song', 'just', 'premium', 'really', 'easy', 'listening', 'music app', 'ads', 'want', 'playlist', 'play', 'don', 've', 'amazing']"
26133,26324,2022-04-27 14:03:31,Always right on top with the music I love thank you Spotify,5,0,,2,59,en,4,9353,"['app', 'music', 'spotify', 'love', 'songs', 'great', 'best', 'good', 'listen', 'like', 'use', 'song', 'premium', 'just', 'music app', 'easy', 'really', 'ads', 'listening', 'play', 'want', 'best music', 'playlist', 'amazing', 'free']"
25035,25216,2022-04-30 16:03:25,Love how easy it is to find my favorite music.,5,0,,2,46,en,4,6996,"['app', 'music', 'spotify', 'love', 'songs', 'great', 'best', 'good', 'listen', 'like', 'use', 'song', 'premium', 'just', 'music app', 'easy', 'really', 'ads', 'listening', 'play', 'want', 'best music', 'playlist', 'amazing', 'free']"
39657,39901,2022-03-25 17:18:16,Being older and the newest technology can be challenging but this was extremely easy and I look forward to using it more,5,0,,2,120,en,4,9074,"['app', 'music', 'spotify', 'love', 'songs', 'great', 'best', 'good', 'listen', 'like', 'use', 'song', 'premium', 'just', 'music app', 'easy', 'really', 'ads', 'listening', 'play', 'want', 'best music', 'playlist', 'amazing', 'free']"
10787,10880,2022-06-12 19:54:03,Amazing app can find any song any artist love love love this app,5,0,,2,64,en,4,11444,"['app', 'music', 'spotify', 'love', 'songs', 'great', 'best', 'good', 'listen', 'like', 'use', 'song', 'premium', 'just', 'music app', 'easy', 'really', 'ads', 'listening', 'play', 'want', 'best music', 'playlist', 'amazing', 'free']"
39156,39399,2022-03-28 00:01:00,"Spotify exceeded my expectations for enjoying for enjoying the sounds of Monica Eryn Johnson's Evolution and other classical music of Bach, Beethoven, Debussy, and many others. A treasured Archives that can be appreciated at any time on my cellphone. Highly recommended for musical entertainment.",5,1,,2,296,en,4,42,"['music', 'app', 'spotify', 'love', 'great', 'songs', 'good', 'best', 'like', 'listen', 'use', 'song', 'just', 'premium', 'really', 'easy', 'listening', 'music app', 'ads', 'want', 'playlist', 'play', 'don', 've', 'amazing']"
