level_0,index,Unnamed: 0,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,sentiment,lengthContent,Language,scoreSA,topics
2653,2750.0,3992.0,663,Kym Cooks (PAPER),https://play-lh.googleusercontent.com/a/ACg8ocIGO9ttzfaJRy-wejjWb9TAYJq_FUEGEZT4h5hzVOqLIeg=mo,"I appreciate how simple it is to navigate to what I'm seeking, regardless of incredibly large, wide range of inventory Amazon offers. Loving the deals, coupons, and how affordable it is. This app is most definitely 1 of my favs. I'm looking forward to what's new for the holidays. Happy holidays all. 😘",5,9.0,26.23.0.100,2023-12-10 05:30:11,,,26.23.0.100,2,302,en,4,"['app', 'amazon', 'love', 'great', 'need', 'good', 'shopping', 'easy', 'time', 'like', 'just', 'items', 'order', 'use', 'want', 'really', 'service', 'delivery', 'things', 'don', 'shop', 'products', 'search', 'fast', 'prime']"
7202,7466.0,10855.0,10376,Pat Mafull,https://play-lh.googleusercontent.com/a-/ALV-UjVdcaamz9M8gNxagLPN0XODitXcKumYex4pTWCaPpk8fw,"If I need something, I know I can always find it on Amazon.",5,0.0,26.21.0.100,2023-11-02 17:25:07,,,26.21.0.100,2,59,en,4,"['app', 'amazon', 'love', 'great', 'need', 'good', 'shopping', 'easy', 'time', 'like', 'just', 'items', 'order', 'use', 'want', 'really', 'service', 'delivery', 'things', 'don', 'shop', 'products', 'search', 'fast', 'prime']"
15776,16335.0,23187.0,462,Roger Gauthier,https://play-lh.googleusercontent.com/a-/ALV-UjW29Y7pY1SCaQKYJRyaHF1y45JLPVX5JJWzEL3GHpLTrZA,Will see if they show up as scheduled.,4,0.0,24.12.6.100,2022-07-11 20:25:16,,,24.12.6.100,2,38,en,3,"['scheduled', 'arrives', 'item locally', 'item locally arrives', 'young life', 'henry', 'know scheduled', 'know scheduled got', 'knows scheduled', 'knows scheduled sleep', 'life expensive', 'life expensive excellent', 'locally arrives', 'know goes know', 'got time early', 'got time', 'scheduled convenient item', 'time let know', 'time let', 'time early cool', 'sleep friday comes', 'locally arrives time', 'scheduled sleep friday', 'scheduled convenient', 'scheduled got time']"
13822,14311.0,20259.0,17290,Rudy Brown,https://play-lh.googleusercontent.com/a/ACg8ocLFofaJvNW3e842Dm4K1jp4DfRjtLRw_uGiCxwPaLgy=mo,Enjoy getting all my shopping through Amazon..love it,4,0.0,,2022-11-18 05:44:00,,,,2,53,en,3,"['app', 'amazon', 'love', 'great', 'need', 'good', 'shopping', 'easy', 'time', 'like', 'just', 'items', 'order', 'use', 'want', 'really', 'service', 'delivery', 'things', 'don', 'shop', 'products', 'search', 'fast', 'prime']"
2774,,,20031,,,complete product exactly like i need,5,,,,,,,2,36,,4,"['app', 'amazon', 'love', 'great', 'need', 'good', 'shopping', 'easy', 'time', 'like', 'just', 'items', 'order', 'use', 'want', 'really', 'service', 'delivery', 'things', 'don', 'shop', 'products', 'search', 'fast', 'prime']"
1522,,,19182,,,partners handle 80 % on our personal needs with amazon.,5,,,,,,,2,55,,4,"['amazon', 'app', 'shopping', 'love', 'great', 'like', 'good', 'delivery', 'time', 'just', 'use', 'items', 'prime', 'easy', 'don', 'service', 'order', 'buy', 'prices', 'love amazon', 'things', 'shop', 've', 'day', 'really']"
12715,13170.0,18774.0,18485,Vasanthakumar S,https://play-lh.googleusercontent.com/a-/ALV-UjWJ7_PSCNKx_jjDm8fATWsbYRO_0ldKlq8qT9DttwNOn2w,Ultimate Amazon pay only one I'm,4,0.0,,2023-01-25 00:19:19,,,,2,32,en,3,"['amazon', 'app', 'shopping', 'love', 'great', 'like', 'good', 'delivery', 'time', 'just', 'use', 'items', 'prime', 'easy', 'don', 'service', 'order', 'buy', 'prices', 'love amazon', 'things', 'shop', 've', 'day', 'really']"
2218,,,18156,,,"shopping was extremely easy, yet so fast!",5,,,,,,,2,41,,4,"['app', 'amazon', 'love', 'great', 'need', 'good', 'shopping', 'easy', 'time', 'like', 'just', 'items', 'order', 'use', 'want', 'really', 'service', 'delivery', 'things', 'don', 'shop', 'products', 'search', 'fast', 'prime']"
1259,,,16554,,,"furthermore, you didn't realize what i will do without it? fair prices & very large delivery, what exactly can you want?",5,,,,,,,2,120,,4,"['fast delivery want', 'realize fair prices', 'realize fair', 'prices large delivery', 'prices large', 'large delivery exactly', 'large delivery', 'know fantastic prices', 'know fantastic', 'furthermore didn realize', 'furthermore didn', 'want amazing', 'fantastic prices super', 'fantastic prices', 'fair prices large', 'exactly want amazing', 'want amazing don', 'delivery want', 'didn realize', 'didn realize fair', 'delivery exactly', 'amazing don know', 'amazing don', 'delivery exactly want', 'don know fantastic']"
260,265.0,425.0,8334,Rebecca Modlin,https://play-lh.googleusercontent.com/a-/ALV-UjVcuxr5Kbrr7JGBS9LvOaxC04mEREC9IYwKk6C2Nj3652RR,"Always great prices, fast shipping",5,0.0,26.23.4.100,2024-01-05 20:56:19,,,26.23.4.100,2,34,en,4,"['amazon', 'app', 'shopping', 'love', 'great', 'like', 'good', 'delivery', 'time', 'just', 'use', 'items', 'prime', 'easy', 'don', 'service', 'order', 'buy', 'prices', 'love amazon', 'things', 'shop', 've', 'day', 'really']"
12786,13247.0,18873.0,22522,Noel Manes,https://play-lh.googleusercontent.com/a-/ALV-UjXtXcuHSKMxCXtcxnD1wsnDCCf0OcYhLJ9506trL7vpuw,"Prices are generally good, but check and prime doesn't always mean one day. Custmer service is iffy at best",4,0.0,24.21.4.100,2023-01-18 21:18:57,,,24.21.4.100,2,107,en,3,"['amazon', 'app', 'shopping', 'love', 'great', 'like', 'good', 'delivery', 'time', 'just', 'use', 'items', 'prime', 'easy', 'don', 'service', 'order', 'buy', 'prices', 'love amazon', 'things', 'shop', 've', 'day', 'really']"
1053,,,23466,,,"amazon has an amazing seo service, prompt and the operator have respect for everything packages they deliver. drivers are equal pick ups and the lion kingdom postal drivers. quality services & products and if an applicant is wrong, company accepts the product back. is an amazing company!",5,,,,,,,2,288,,4,"['app', 'amazon', 'love', 'great', 'need', 'good', 'shopping', 'easy', 'time', 'like', 'just', 'items', 'order', 'use', 'want', 'really', 'service', 'delivery', 'things', 'don', 'shop', 'products', 'search', 'fast', 'prime']"
15943,16505.0,23433.0,20194,Cash App,https://play-lh.googleusercontent.com/a-/ALV-UjUFbiK-mDlV3NJd5QRFUmInHryIcJW2TdNN035iuQHvMg,Great app to help find what you need,4,0.0,,2022-06-29 04:11:21,,,,2,36,en,3,"['app', 'amazon', 'love', 'great', 'need', 'good', 'shopping', 'easy', 'time', 'like', 'just', 'items', 'order', 'use', 'want', 'really', 'service', 'delivery', 'things', 'don', 'shop', 'products', 'search', 'fast', 'prime']"
7415,7687.0,11256.0,15453,Blazecon 59978,https://play-lh.googleusercontent.com/a-/ALV-UjVXdbtEHig2vGQyNCQH3QI7MSO9qRhXlNEIlhoLwoSUv0c,Really good I got lots of vinyls on here...,5,1.0,26.21.0.100,2023-10-27 19:47:54,,,26.21.0.100,2,43,en,4,"['app', 'amazon', 'love', 'great', 'need', 'good', 'shopping', 'easy', 'time', 'like', 'just', 'items', 'order', 'use', 'want', 'really', 'service', 'delivery', 'things', 'don', 'shop', 'products', 'search', 'fast', 'prime']"
12792,13253.0,18880.0,19851,levi south,https://play-lh.googleusercontent.com/a-/ALV-UjUW1kgPJqauznAn4ynejbKAz-C3LcPuq4afXiUOOxyJNhA,"Please fix Alexa. She has no idea what I'm asking half the time. I want a company called terrific deal. I want to look at their products., 500 times she just keeps bringing me,,,, deal of the day,,,,🤷 I had to come back and change my review as I was reading other reviews Alexis sent me a notification... Letting me know about today's deals.. are you freaking kidding me 😂😂😂😂😂😂😂🤣🤣🤣🤣🤣😭",4,0.0,26.1.2.100,2023-01-18 17:02:18,,,26.1.2.100,2,384,en,3,"['amazon', 'app', 'shopping', 'love', 'great', 'like', 'good', 'delivery', 'time', 'just', 'use', 'items', 'prime', 'easy', 'don', 'service', 'order', 'buy', 'prices', 'love amazon', 'things', 'shop', 've', 'day', 'really']"
2070,,,12322,,,i have been in it shopping for a few nights when i nowhere have had any customers.,4,,,,,,,2,82,,3,"['amazon', 'app', 'shopping', 'love', 'great', 'like', 'good', 'delivery', 'time', 'just', 'use', 'items', 'prime', 'easy', 'don', 'service', 'order', 'buy', 'prices', 'love amazon', 'things', 'shop', 've', 'day', 'really']"
12686,13140.0,18738.0,4708,Patty Headley,https://play-lh.googleusercontent.com/a-/ALV-UjV7yT3zdnQXUM01LWQvgV7ziiGWyqwZsPVRkRF7UGpP_qo,The only reason that I rate 4 instead of 5 stars is because I never get a product description with Amazon.,4,0.0,26.2.0.100,2023-01-27 02:54:39,,,26.2.0.100,2,106,en,3,"['app', 'amazon', 'love', 'great', 'need', 'good', 'shopping', 'easy', 'time', 'like', 'just', 'items', 'order', 'use', 'want', 'really', 'service', 'delivery', 'things', 'don', 'shop', 'products', 'search', 'fast', 'prime']"
